user_id,event_date,country,segment,device,acquisition_channel,primary_feature_used,experiment_group,DAU,WAU,MAU,stickiness_ratio,conversion_rate,d1_retention,d7_retention,d30_retention,churn_rate,revenue_per_user,session_frequency,activation_rate,feature_adoption_rate,engagement_score,engagement_band
USR-100000,2025-11-24,Canada,Enterprise,Mobile,Social,Search,Control,1912,4321,27345,0.0699,0.2848,0.7317,0.4946,0.3547,0.6809,41.91,6.92,0.5635,0.5012,56,Medium
USR-100001,2025-10-30,Canada,Enterprise,Tablet,Organic,AI Assistant,Control,4456,6976,13928,0.3199,0.2314,0.6846,0.4806,0.3574,0.6917,23.82,5.73,0.5374,0.3682,36,Low
USR-100002,2025-04-12,India,Premium,Mobile,Paid Search,Recommendations,Variant A,6865,17793,50286,0.1365,0.3333,0.7265,0.5746,0.4432,0.636,39.71,4.32,0.562,0.7221,53,Medium
USR-100003,2025-06-24,USA,Premium,Mobile,Email,Checkout,Control,3276,7823,26933,0.1216,0.2746,0.7019,0.5115,0.4193,0.6502,49.52,3.12,0.6267,0.286,68,Medium
USR-100004,2025-11-06,Germany,Free,Tablet,Email,AI Assistant,Control,3166,5877,40985,0.0772,0.1936,0.7518,0.4767,0.3192,0.7947,41.06,6.7,0.5293,0.3425,93,High
USR-100005,2025-07-05,Canada,Premium,Mobile,Paid Search,Search,Variant B,5729,10879,20437,0.2803,0.2987,0.7077,0.5306,0.4225,0.6518,42.54,4.55,0.5558,0.6718,30,Low
USR-100006,2025-07-14,UK,Free,Tablet,Email,Search,Variant A,3277,12705,41614,0.0787,0.3115,0.7959,0.5525,0.4651,0.5907,16.89,7.07,0.5958,0.5184,45,Low
USR-100007,2025-11-08,Germany,Premium,Tablet,Social,Messaging,Variant A,6201,11004,32047,0.1935,0.319,0.6861,0.4641,0.2954,0.7718,43.06,4.1,0.6389,0.8107,45,Low
USR-100008,2025-12-17,Germany,Premium,Mobile,Paid Search,AI Assistant,Variant A,3656,6572,26582,0.1375,0.2582,0.8339,0.6303,0.5075,0.515,18.14,6.97,0.6823,0.5829,29,Low
USR-100009,2025-06-11,UK,Free,Mobile,Social,AI Assistant,Control,2741,12920,43848,0.0625,0.2333,0.6503,0.4094,0.3065,0.7212,26.68,4.35,0.6832,0.6293,83,High
USR-100010,2025-05-15,UK,Free,Mobile,Social,Recommendations,Variant A,7119,18696,51773,0.1375,0.2335,0.7708,0.508,0.3741,0.7266,33.67,6.34,0.5895,0.5248,99,High
USR-100011,2025-02-16,Canada,Enterprise,Desktop,Social,Search,Variant B,7191,9962,22147,0.3247,0.3237,0.7225,0.4648,0.3841,0.687,18.18,4.48,0.5826,0.4597,44,Low
USR-100012,2025-07-17,India,Free,Tablet,Organic,AI Assistant,Variant A,4126,15889,51563,0.08,0.2519,0.7642,0.5612,0.4109,0.6455,37.74,2.36,0.5242,0.4311,92,High
USR-100013,2025-05-17,Canada,Premium,Mobile,Email,AI Assistant,Variant A,7296,14869,27179,0.2684,0.2651,0.714,0.5136,0.4285,0.6194,35.31,5.71,0.6072,0.4047,62,Medium
USR-100014,2025-04-02,Canada,Free,Desktop,Paid Search,AI Assistant,Variant B,5158,8901,33459,0.1542,0.3171,0.7851,0.6271,0.4743,0.5825,57.67,7.57,0.5395,0.5915,89,High
USR-100015,2025-09-29,USA,Premium,Desktop,Paid Search,Search,Control,1004,12817,39060,0.0257,0.2353,0.7954,0.6456,0.5615,0.5176,16.29,5.32,0.525,0.651,87,High
USR-100016,2025-05-04,India,Free,Mobile,Referral,AI Assistant,Control,5647,8937,19550,0.2888,0.214,0.833,0.5631,0.4693,0.5848,33.01,6.15,0.6935,0.659,87,High
USR-100017,2025-03-26,Canada,Enterprise,Desktop,Referral,Checkout,Variant B,3171,13816,46546,0.0681,0.3282,0.8923,0.7336,0.6443,0.4654,41.64,6.53,0.511,0.3819,52,Medium
